timestamp_iso,round_ts,round_clock,event,arb_id,contracts,cost_usd,profit_pct_at_event,k_yes_bid,k_yes_ask,p_yes_ask,p_no_ask,entry_arb_id,entry_cost_usd,entry_contracts,delay_seconds,min_contracts,pair_total_cost,pair_guaranteed_payout,pair_pnl_usd,pair_pnl_pct_of_budget
2026-04-25T23:00:46.854,1777168800,00:46,ENTRY,2,7.1655,6.9933,2.46,0.69,0.71,0.64,0.37,,,,,,,,,
2026-04-25T23:02:33.871,1777168800,02:33,HEDGE_OK,1,7.1339,7.0026,1.8757,0.64,0.65,0.7,0.31,2,6.9933,7.1655,107,7.1339,13.9959,14.2678,0.2719,3.8841
2026-04-25T23:16:38.806,1777169700,01:38,ENTRY,2,7.1662,7.0033,2.3278,0.67,0.68,0.62,0.39,,,,,,,,,
2026-04-25T23:22:52.106,1777169700,07:52,HEDGE_OK,1,7.1667,7.0033,2.3351,0.32,0.34,0.4,0.61,2,7.0033,7.1662,374,7.1662,14.0066,14.3325,0.3259,4.6556
2026-04-25T23:32:05.091,1777170600,02:05,ENTRY,2,7.1702,7.0035,2.3808,0.53,0.54,0.48,0.51,,,,,,,,,
2026-04-25T23:36:23.090,1777170600,06:23,HEDGE_OK,1,7.1649,7.0036,2.3041,0.41,0.43,0.49,0.52,2,7.0035,7.1702,258,7.1649,14.0071,14.3298,0.3227,4.6096
2026-04-25T23:45:37.680,1777171500,00:37,ENTRY,2,7.1932,7.045,2.1174,0.39,0.4,0.34,0.67,,,,,,,,,
2026-04-25T23:46:55.494,1777171500,01:55,HEDGE_OK,1,7.124,7.0021,1.7419,0.2,0.22,0.27,0.74,2,7.045,7.1932,78,7.124,14.0471,14.248,0.2009,2.8701
2026-04-26T00:00:23.501,1777172400,00:23,ENTRY,2,7.4803,7.0039,6.8067,0.52,0.53,0.43,0.58,,,,,,,,,
2026-04-26T00:15:00.004,1777172400,15:00,NAKED_AT_CLOSE,2,7.4803,7.0039,6.8067,0.52,0.53,0.43,0.58,,,,,,,,,
2026-04-26T00:15:22.923,1777173300,00:22,ENTRY,2,7.2392,7.0036,3.3648,0.59,0.6,0.53,0.48,,,,,,,,,
