close_iso,ticker,classification,position,pair_pnl_usd,events,kalshi_result,poly_outcome,kalshi_strike,poly_price_beat,delta
2026-04-26T08:45:00+00:00,KXBTC15M-26APR260445-45,agree,HEDGED,0.2913,ENTRY|HEDGE_OK,no,down,78108.29,78105.63569,-2.65
2026-04-26T09:00:00+00:00,KXBTC15M-26APR260500-00,agree,HEDGED,0.3587,ENTRY|HEDGE_OK,no,down,78068.99,78063.96887,-5.02
2026-04-26T09:15:00+00:00,KXBTC15M-26APR260515-15,agree,NAKED,,ENTRY|NAKED_AT_CLOSE,no,down,78059.77,78049.34583782061,-10.42
2026-04-26T09:30:00+00:00,KXBTC15M-26APR260530-30,agree,HEDGED,0.2103,ENTRY|HEDGE_OK,yes,up,78031.02,78027.75840950041,-3.26
2026-04-26T09:45:00+00:00,KXBTC15M-26APR260545-45,agree,HEDGED,0.2166,ENTRY|HEDGE_OK,no,down,78035.12,78030.20144,-4.92
2026-04-26T10:00:00+00:00,KXBTC15M-26APR260600-00,agree,HEDGED,0.2088,ENTRY|HEDGE_OK,yes,up,78002.64,77995.13024,-7.51
2026-04-26T10:15:00+00:00,KXBTC15M-26APR260615-15,agree,HEDGED,0.2656,ENTRY|HEDGE_OK,yes,up,78025.06,78018.61012578782,-6.45
2026-04-26T10:30:00+00:00,KXBTC15M-26APR260630-30,agree,HEDGED,0.3239,ENTRY|HEDGE_OK,no,down,78059.68,78056.1566838906,-3.52
2026-04-26T10:45:00+00:00,KXBTC15M-26APR260645-45,agree,HEDGED,0.2788,ENTRY|HEDGE_OK,no,down,78037.22,78029.72358,-7.5
2026-04-26T11:00:00+00:00,KXBTC15M-26APR260700-00,DIVERGE,NAKED,,ENTRY|NAKED_AT_CLOSE,no,up,78030.37,78004.03951453169,-26.33
2026-04-26T11:15:00+00:00,KXBTC15M-26APR260715-15,agree,NAKED,,ENTRY|NAKED_AT_CLOSE,yes,up,78022.02,78016.69596,-5.32
2026-04-26T11:30:00+00:00,KXBTC15M-26APR260730-30,agree,HEDGED,0.3108,ENTRY|HEDGE_OK,yes,up,78076.8,78062.34494000001,-14.46
2026-04-26T11:45:00+00:00,KXBTC15M-26APR260745-45,agree,NAKED,,ENTRY|NAKED_AT_CLOSE,no,down,78147.39,78143.30605,-4.08
2026-04-26T12:00:00+00:00,KXBTC15M-26APR260800-00,agree,NAKED,,ENTRY|NAKED_AT_CLOSE,yes,up,78097.91,78090.39733,-7.51
2026-04-26T12:15:00+00:00,KXBTC15M-26APR260815-15,agree,NAKED,,ENTRY|NAKED_AT_CLOSE,no,down,78125.84,78110.01373653737,-15.83
2026-04-26T12:30:00+00:00,KXBTC15M-26APR260830-30,agree,HEDGED,0.3038,ENTRY|HEDGE_OK,no,down,78009.36,77996.54305231506,-12.82
2026-04-26T12:45:00+00:00,KXBTC15M-26APR260845-45,agree,HEDGED,0.273,ENTRY|HEDGE_OK,no,down,77994.43,77986.20133,-8.23
